meter_id,customer_id,unit_type,construction_year,energy_label
204,1141,single_family_house,2015,A
205,2789,single_family_house,1971,""
206,3058,single_family_house,1977,C
207,2612,single_family_house,1961,""
208,917,single_family_house,1959,""
209,941,single_family_house,1974,D
210,2125,single_family_house,1961,""
211,1191,single_family_house,2013,A
212,2257,single_family_house,1976,D
213,2368,single_family_house,1957,""
214,476,single_family_house,1931,D
215,440,single_family_house,1964,""
216,2242,single_family_house,1933,F
217,519,single_family_house,1937,""
218,1461,terraced_house,1972,""
219,1246,single_family_house,1925,""
220,533,terraced_house,1951,D
221,2875,single_family_house,1955,E
222,2857,single_family_house,1909,""
223,407,single_family_house,2001,""
224,1791,terraced_house,1987,B
225,2293,terraced_house,1960,""
226,2589,single_family_house,1976,""
227,2703,single_family_house,1975,""
228,2773,single_family_house,1948,""
229,1051,single_family_house,1976,""
230,1821,single_family_house,1961,""
231,1068,single_family_house,1921,""
232,327,single_family_house,1964,E
233,3045,single_family_house,1962,C
234,2230,single_family_house,1979,""
235,1653,single_family_house,1923,""
236,464,single_family_house,1907,""
237,2668,single_family_house,1943,""
238,1851,terraced_house,2016,""
239,1262,single_family_house,1958,""
240,3075,single_family_house,1943,D
241,2292,terraced_house,1972,B
242,1425,unclear,,""
243,1617,single_family_house,2017,A
244,1660,single_family_house,1951,""
245,388,single_family_house,1913,""
246,2426,single_family_house,1928,""
247,2105,single_family_house,1920,C
248,3002,single_family_house,1951,""
249,404,unclear,,""
250,255,single_family_house,1974,""
251,1324,terraced_house,1972,""
252,2763,terraced_house,2004,""
253,1621,single_family_house,1958,""
254,2175,single_family_house,1922,D
255,480,single_family_house,1969,C
256,2701,single_family_house,1965,""
257,2823,single_family_house,1970,D
258,2109,single_family_house,1975,""
259,214,terraced_house,1972,B
260,84,single_family_house,1957,E
261,2852,non_residential,1995,D
262,1484,terraced_house,1965,D
263,1956,terraced_house,1962,""
264,164,single_family_house,1969,""
265,807,single_family_house,1957,E
266,2692,single_family_house,1914,F
267,2246,unclear,,E
268,2252,single_family_house,1948,""
269,1822,terraced_house,1987,B
270,2451,terraced_house,2013,A
271,430,terraced_house,1953,""
272,2409,single_family_house,1965,E
273,667,terraced_house,1980,""
274,2565,single_family_house,1959,""
275,900,single_family_house,1965,""
276,1193,single_family_house,1949,F
277,1444,apartment,2007,B
278,602,single_family_house,1976,C
279,573,single_family_house,1972,C
280,863,terraced_house,1953,F
281,264,apartment,2006,C
282,2673,single_family_house,1958,C
283,600,single_family_house,1929,C
284,1521,single_family_house,1976,C
285,1797,single_family_house,1966,F
286,1705,single_family_house,1972,D
287,145,single_family_house,1969,""
288,680,single_family_house,1948,E
289,1417,single_family_house,1959,E
290,2453,single_family_house,1970,E
291,197,terraced_house,1982,B
292,2316,single_family_house,1966,""
293,2744,unclear,,G
294,1902,single_family_house,1971,E
295,1776,single_family_house,1906,""
296,1938,single_family_house,1930,""
297,946,single_family_house,1962,C
298,791,single_family_house,1985,""
299,1468,terraced_house,2017,""
300,2627,apartment,2003,D
301,24,single_family_house,1923,D
302,1074,single_family_house,1972,""
303,2322,terraced_house,2017,""
304,1266,single_family_house,1961,E
305,2343,single_family_house,1953,""
306,1681,single_family_house,1992,C
307,1642,single_family_house,1969,""
308,150,single_family_house,1964,""
309,502,single_family_house,2014,A
310,2449,single_family_house,1954,E
311,1592,terraced_house,2017,""
312,2873,single_family_house,1954,D
313,1101,single_family_house,1954,D
314,251,terraced_house,1951,D
315,1281,single_family_house,1969,""
316,1012,apartment,2007,B
317,376,single_family_house,1928,""
318,2080,single_family_house,1976,D
319,813,terraced_house,1972,""
320,311,single_family_house,1959,C
321,565,single_family_house,1971,D
322,2003,non_residential,1948,""
323,232,terraced_house,1982,""
324,2142,single_family_house,1933,F
325,1717,single_family_house,1910,D
326,723,single_family_house,1910,""
327,1930,single_family_house,1927,C
328,1708,single_family_house,2005,C
329,1948,single_family_house,1969,D
330,10,single_family_house,1930,""
331,3071,terraced_house,1983,""
332,2351,unclear,,C
333,1607,single_family_house,1920,D
334,2004,single_family_house,1949,D
335,2516,unclear,,""
336,1117,single_family_house,1939,""
337,1978,terraced_house,2016,A
338,171,single_family_house,1975,""
339,67,single_family_house,1963,""
340,63,apartment,2006,C
341,984,single_family_house,1930,""
342,662,single_family_house,1951,""
343,1432,terraced_house,2005,""
344,177,single_family_house,2019,A
345,195,single_family_house,1920,""
346,1250,single_family_house,1966,""
347,2129,terraced_house,1964,C
348,3043,single_family_house,2015,""
349,2146,single_family_house,1968,""
350,3032,single_family_house,1954,""
351,931,unclear,,C
352,2170,terraced_house,1929,E
353,2286,single_family_house,1962,""
354,2156,single_family_house,1902,""
355,2197,terraced_house,2001,""
356,2463,single_family_house,1923,""
357,1579,terraced_house,2015,A
358,1496,single_family_house,1975,""
359,710,single_family_house,1965,D
360,3083,single_family_house,1991,D
361,216,apartment,2006,C
362,44,single_family_house,1915,C
363,1516,single_family_house,1975,""
364,2803,single_family_house,1984,""
365,839,single_family_house,1914,""
366,416,single_family_house,1968,""
367,1725,apartment,2006,C
368,45,single_family_house,1977,""
369,1517,unclear,,""
370,2018,single_family_house,1961,""
371,2995,single_family_house,1985,""
372,883,single_family_house,1964,""
373,1325,single_family_house,2014,A
374,947,single_family_house,2014,A
375,2899,single_family_house,1965,""
376,1871,unclear,,""
377,2306,unclear,,E
378,1507,terraced_house,1972,""
379,244,terraced_house,1972,""
380,2950,single_family_house,1972,""
381,43,terraced_house,2017,D
382,205,single_family_house,1954,E
383,1378,single_family_house,1962,""
384,3068,single_family_house,1926,F
385,690,single_family_house,1976,C
386,695,terraced_house,2017,A
387,124,single_family_house,1986,""
388,2485,single_family_house,1957,""
389,2211,single_family_house,1981,""
390,108,single_family_house,1970,D
391,2187,single_family_house,1963,C
392,805,single_family_house,1914,""
393,1441,terraced_house,1972,B
394,1671,single_family_house,1963,""
395,1385,single_family_house,1900,""
396,2131,terraced_house,2008,""
397,2396,single_family_house,1985,C
398,1554,single_family_house,1967,C
399,2522,unclear,,""
400,924,single_family_house,1967,""
401,578,terraced_house,1929,""
402,451,single_family_house,1969,""
403,372,terraced_house,1981,B
404,2761,terraced_house,1965,""
405,975,unclear,,""
406,1818,single_family_house,1965,D
407,1704,terraced_house,1972,""
408,82,single_family_house,1924,""
409,1525,single_family_house,1985,""
410,439,terraced_house,1965,""
411,1785,unclear,,""
412,497,single_family_house,1976,C
413,668,terraced_house,2018,A
414,511,single_family_house,1965,""
415,2422,single_family_house,1953,D
416,2601,single_family_house,1963,C
417,2342,single_family_house,1982,""
418,345,single_family_house,1960,""
419,1804,single_family_house,1975,""
420,2001,single_family_house,1954,""
421,803,single_family_house,1960,""
422,2748,single_family_house,2016,A
423,2594,single_family_house,1947,D
424,1136,terraced_house,1972,""
425,1618,single_family_house,1968,""
426,2043,single_family_house,1917,E
427,2731,terraced_house,1954,""
428,2199,single_family_house,1954,""
429,234,single_family_house,1968,""
430,1299,single_family_house,1967,""
431,1231,terraced_house,2008,""
432,672,single_family_house,1973,""
433,1783,single_family_house,1988,C
434,1014,single_family_house,1974,""
435,1668,single_family_house,1967,""
436,833,terraced_house,2006,""
437,1960,single_family_house,1980,C
438,1985,single_family_house,1966,""
439,1891,single_family_house,1980,C
440,1474,single_family_house,1974,""
441,3112,single_family_house,1983,""
442,246,single_family_house,1929,""
443,875,single_family_house,1951,""
444,2114,terraced_house,2017,""
445,589,single_family_house,1955,""
446,2856,unclear,,A
447,2735,terraced_house,2017,D
448,2708,terraced_house,1887,""
449,1187,single_family_house,1962,""
450,1403,single_family_house,2016,A
451,1762,single_family_house,1984,""
452,1382,terraced_house,2016,A
453,2375,single_family_house,1959,""
454,1814,single_family_house,1909,F
455,1929,single_family_house,1900,""
456,2221,single_family_house,1969,""
457,1347,single_family_house,2017,A
458,492,terraced_house,2018,A
459,2728,single_family_house,2012,""
460,490,single_family_house,1976,""
461,2830,single_family_house,1973,""
462,1793,single_family_house,1924,""
463,1022,single_family_house,1972,""
464,2832,single_family_house,1958,E
465,1709,single_family_house,1959,""
466,1558,single_family_house,1971,D
467,1203,single_family_house,1953,D
468,2359,single_family_house,1959,""
469,469,single_family_house,1976,C
470,1131,apartment,2006,C
471,1732,single_family_house,1969,""
472,64,terraced_house,2004,""
473,1623,single_family_house,2017,A
474,1568,single_family_house,1928,D
475,2960,terraced_house,2008,""
476,2447,single_family_house,1928,E
477,1247,unclear,,G
478,2294,single_family_house,1986,""
479,1134,single_family_house,1968,E
480,1867,terraced_house,1973,""
481,2098,single_family_house,2006,""
482,2682,single_family_house,2006,""
483,61,single_family_house,1954,""
484,277,apartment,2003,""
485,1016,single_family_house,1974,C
486,392,single_family_house,1957,""
487,2432,single_family_house,1974,""
488,218,single_family_house,1957,""
489,2502,single_family_house,2009,""
490,132,single_family_house,1966,""
491,1448,unclear,,""
492,1093,single_family_house,1966,C
493,1268,single_family_house,2016,A
494,1495,terraced_house,1972,A
495,2394,single_family_house,1956,""
496,2740,terraced_house,1980,""
497,934,unclear,,""
498,2214,single_family_house,1967,""
499,528,single_family_house,2018,A
500,2769,single_family_house,1951,""
501,2158,terraced_house,2009,B
502,1189,single_family_house,1966,E
503,493,terraced_house,1987,""
504,1873,single_family_house,1936,""
505,2369,single_family_house,1973,""
506,1372,single_family_house,1957,""
507,263,single_family_house,1959,F
508,88,single_family_house,1923,""
509,483,single_family_house,1980,C
510,1944,single_family_house,1984,C
511,1225,single_family_house,1974,""
512,2781,single_family_house,1952,""
513,2986,single_family_house,1952,""
514,360,terraced_house,1954,D
515,2413,single_family_house,1966,""
516,1430,single_family_house,2014,A
517,2361,single_family_house,1962,""
518,275,single_family_house,1953,A
519,1594,single_family_house,1972,""
520,1562,single_family_house,1954,""
521,1494,single_family_house,1954,""
522,1255,single_family_house,1926,F
523,2925,single_family_house,2005,C
524,537,terraced_house,2003,B
525,2274,terraced_house,2008,B
526,3052,single_family_house,2014,A
527,822,single_family_house,1974,""
528,1497,single_family_house,1962,""
529,174,single_family_house,1962,""
530,299,single_family_house,1971,D
531,2073,single_family_house,1974,""
532,2124,single_family_house,1935,E
533,441,single_family_house,1975,""
534,2767,single_family_house,1974,""
535,795,single_family_house,1980,""
536,2182,single_family_house,1968,""
537,479,single_family_house,1986,""
538,2465,single_family_house,1980,""
539,209,single_family_house,1971,""
540,2287,single_family_house,1983,""
541,1581,single_family_house,1958,E
542,2397,single_family_house,1924,C
543,400,single_family_house,1921,D
544,425,single_family_house,1974,""
545,634,single_family_house,1951,""
546,1201,single_family_house,1931,""
547,2907,terraced_house,1951,D
548,1025,single_family_house,1947,D
549,2513,terraced_house,1972,""
550,866,single_family_house,1975,D
551,73,single_family_house,1961,""
552,2638,single_family_house,1953,C
553,1056,single_family_house,1943,D
554,1149,single_family_house,2017,A
555,3121,single_family_house,1964,E
556,1751,single_family_house,1955,D
557,1946,single_family_house,1961,E
558,2518,single_family_house,1921,""
559,729,single_family_house,1958,""
560,2092,single_family_house,1924,""
561,2116,single_family_house,1971,D
562,542,single_family_house,1970,""
563,1366,single_family_house,1964,E
564,1491,single_family_house,2013,""
565,2846,single_family_house,1973,""
566,2643,terraced_house,2017,D
567,775,terraced_house,1965,""
568,385,apartment,2003,""
569,1283,apartment,2006,C
570,1571,single_family_house,1961,""
571,438,unclear,,C
572,2900,single_family_house,1965,""
573,2487,single_family_house,1974,""
574,746,single_family_house,1925,C
